#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.61326292E-05      0.23353673E-05      0.23693809E-05      0.14278810E-05
      0.20000000E-02      0.12303614E-04      0.46860392E-05      0.47542332E-05      0.28633418E-05
      0.30000000E-02      0.18513228E-04      0.70521290E-05      0.71546710E-05      0.43064281E-05
      0.40000000E-02      0.24761746E-04      0.94337510E-05      0.95708098E-05      0.57571855E-05
      0.50000000E-02      0.31049447E-04      0.11831021E-04      0.12002766E-04      0.72156602E-05
      0.60000000E-02      0.37376609E-04      0.14244054E-04      0.14450656E-04      0.86818986E-05
      0.70000000E-02      0.43743516E-04      0.16672969E-04      0.16914599E-04      0.10155948E-04
      0.80000000E-02      0.50150453E-04      0.19117884E-04      0.19394715E-04      0.11637854E-04
      0.90000000E-02      0.56597707E-04      0.21578918E-04      0.21891123E-04      0.13127666E-04
      0.10000000E-01      0.63085568E-04      0.24056192E-04      0.24403945E-04      0.14625431E-04
      0.11000000E-01      0.69614329E-04      0.26549828E-04      0.26933304E-04      0.16131197E-04
      0.12000000E-01      0.76184284E-04      0.29059948E-04      0.29479324E-04      0.17645012E-04
      0.13000000E-01      0.82795730E-04      0.31586675E-04      0.32042129E-04      0.19166926E-04
      0.14000000E-01      0.89448969E-04      0.34130136E-04      0.34621845E-04      0.20696988E-04
      0.15000000E-01      0.96144301E-04      0.36690456E-04      0.37218599E-04      0.22235247E-04
      0.16000000E-01      0.10288203E-03      0.39267762E-04      0.39832520E-04      0.23781752E-04
      0.17000000E-01      0.10966247E-03      0.41862182E-04      0.42463736E-04      0.25336556E-04
      0.18000000E-01      0.11648593E-03      0.44473846E-04      0.45112379E-04      0.26899707E-04
      0.19000000E-01      0.12335272E-03      0.47102885E-04      0.47778579E-04      0.28471258E-04
      0.20000000E-01      0.13026316E-03      0.49749431E-04      0.50462471E-04      0.30051258E-04
