#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.10000000E-02      0.49615012E-04      0.22383286E-04      0.22218738E-04      0.50129881E-05
      0.20000000E-02      0.99624250E-04      0.44944461E-04      0.44614249E-04      0.10065539E-04
      0.30000000E-02      0.15003125E-03      0.67685120E-04      0.67188121E-04      0.15158008E-04
      0.40000000E-02      0.20083959E-03      0.90606877E-04      0.89941957E-04      0.20290755E-04
      0.50000000E-02      0.25205288E-03      0.11371136E-03      0.11287738E-03      0.25464140E-04
      0.60000000E-02      0.30367478E-03      0.13700022E-03      0.13599602E-03      0.30678533E-04
      0.70000000E-02      0.35570897E-03      0.16047512E-03      0.15929955E-03      0.35934301E-04
      0.80000000E-02      0.40815919E-03      0.18413774E-03      0.18278963E-03      0.41231822E-04
      0.90000000E-02      0.46102921E-03      0.20798978E-03      0.20646795E-03      0.46571473E-04
      0.10000000E-01      0.51432284E-03      0.23203297E-03      0.23033624E-03      0.51953636E-04
      0.11000000E-01      0.56804393E-03      0.25626903E-03      0.25439620E-03      0.57378699E-04
      0.12000000E-01      0.62219639E-03      0.28069974E-03      0.27864960E-03      0.62847054E-04
      0.13000000E-01      0.67678414E-03      0.30532685E-03      0.30309820E-03      0.68359095E-04
      0.14000000E-01      0.73181118E-03      0.33015218E-03      0.32774378E-03      0.73915222E-04
      0.15000000E-01      0.78728151E-03      0.35517753E-03      0.35258815E-03      0.79515839E-04
      0.16000000E-01      0.84319921E-03      0.38040473E-03      0.37763313E-03      0.85161356E-04
      0.17000000E-01      0.89956840E-03      0.40583565E-03      0.40288057E-03      0.90852185E-04
      0.18000000E-01      0.95639323E-03      0.43147215E-03      0.42833233E-03      0.96588743E-04
      0.19000000E-01      0.10136779E-02      0.45731613E-03      0.45399031E-03      0.10237145E-03
      0.20000000E-01      0.10714267E-02      0.48336951E-03      0.47985640E-03      0.10820074E-03
      0.21000000E-01      0.11296438E-02      0.50963423E-03      0.50593252E-03      0.11407704E-03
      0.22000000E-01      0.11883337E-02      0.53611224E-03      0.53222064E-03      0.12000079E-03
      0.23000000E-01      0.12475007E-02      0.56280552E-03      0.55872272E-03      0.12597243E-03
      0.24000000E-01      0.13071492E-02      0.58971608E-03      0.58544075E-03      0.13199240E-03
      0.25000000E-01      0.13672838E-02      0.61684594E-03      0.61237675E-03      0.13806116E-03
      0.26000000E-01      0.14279090E-02      0.64419714E-03      0.63953275E-03      0.14417915E-03
      0.27000000E-01      0.14890294E-02      0.67177176E-03      0.66691080E-03      0.15034686E-03
      0.28000000E-01      0.15506496E-02      0.69957190E-03      0.69451300E-03      0.15656473E-03
      0.29000000E-01      0.16127744E-02      0.72759965E-03      0.72234145E-03      0.16283325E-03
      0.30000000E-01      0.16754083E-02      0.75585717E-03      0.75039828E-03      0.16915289E-03
      0.31000000E-01      0.17385564E-02      0.78434662E-03      0.77868563E-03      0.17552413E-03
      0.32000000E-01      0.18022233E-02      0.81307019E-03      0.80720569E-03      0.18194746E-03
      0.33000000E-01      0.18664141E-02      0.84203009E-03      0.83596066E-03      0.18842338E-03
      0.34000000E-01      0.19311337E-02      0.87122856E-03      0.86495276E-03      0.19495238E-03
      0.35000000E-01      0.19963871E-02      0.90066786E-03      0.89418424E-03      0.20153496E-03
      0.36000000E-01      0.20621793E-02      0.93035027E-03      0.92365739E-03      0.20817165E-03
      0.37000000E-01      0.21285156E-02      0.96027813E-03      0.95337451E-03      0.21486296E-03
      0.38000000E-01      0.21954011E-02      0.99045376E-03      0.98333792E-03      0.22160941E-03
      0.39000000E-01      0.22628410E-02      0.10208795E-02      0.10135500E-02      0.22841152E-03
      0.40000000E-01      0.23308408E-02      0.10515578E-02      0.10440131E-02      0.23526984E-03
      0.41000000E-01      0.23994056E-02      0.10824911E-02      0.10747296E-02      0.24218490E-03
      0.42000000E-01      0.24685411E-02      0.11136818E-02      0.11057020E-02      0.24915725E-03
      0.43000000E-01      0.25382526E-02      0.11451324E-02      0.11369328E-02      0.25618744E-03
      0.44000000E-01      0.26085458E-02      0.11768454E-02      0.11684244E-02      0.26327605E-03
      0.45000000E-01      0.26794263E-02      0.12088233E-02      0.12001794E-02      0.27042362E-03
      0.46000000E-01      0.27508997E-02      0.12410687E-02      0.12322003E-02      0.27763074E-03
      0.47000000E-01      0.28229718E-02      0.12735842E-02      0.12644897E-02      0.28489798E-03
      0.48000000E-01      0.28956485E-02      0.13063724E-02      0.12970501E-02      0.29222593E-03
      0.49000000E-01      0.29689355E-02      0.13394360E-02      0.13298844E-02      0.29961519E-03
      0.50000000E-01      0.30428390E-02      0.13727776E-02      0.13629951E-02      0.30706636E-03
